symbol,description,value,unit,equation,source
gamma,GPU thermal design power,0.700,kW,(1),NVIDIA (2024)
P_GPU,GPU purchase price,25000,$,(1),NVIDIA (2024)
L,GPU useful life,3,years,(1),Industry standard
beta,GPU utilization rate,0.70,,(1),Barroso et al. (2018)
H,Hours per year (365.25 x 24),8766,hr/yr,(1),Calendar
rho,Amortized hardware cost per GPU-hour,1.36,$/hr,(1),Derived
eta,Amortized networking cost per GPU-hour,0.15,$/hr,(1),Liu et al. (2023)
phi,PUE baseline (best-practice free-air cooling),1.08,,(1),Google (2024)
delta,PUE temperature sensitivity per degree C,0.015,per C,(1),Flucker et al. (2013)
theta_bar,Free-cooling temperature threshold,15,C,(1),Industry standard
D,Data center facility lifetime,15,years,(1),Turner and Townsend (2025)
tau,Latency degradation per ms of RTT,0.0008,per ms,(2),Calibrated
lambda,Sovereignty premium,0.10,,(2),UNCTAD (2025)
alpha,Training share of compute demand,0.50,,(3),Deloitte (2025)
Q,Total global compute demand,6e10,GPU-hr/yr,(3),Epoch AI (2024)
xi_j,Reliability index (baseline),1.00,,(2),WGI and Enterprise Surveys
